iter	MultiClass
0	1.355482487
1	1.325364765
2	1.282780495
3	1.254433584
4	1.226215581
5	1.193455531
6	1.157606044
7	1.132122013
8	1.106571268
9	1.082840681
10	1.062640088
11	1.037038491
12	0.9980162891
13	0.9609137753
14	0.9409621902
15	0.9163888998
16	0.8972930973
17	0.8753023758
18	0.8554485596
19	0.8252339478
20	0.8060366398
21	0.7871198998
22	0.7683791244
23	0.7543396694
24	0.7399564959
25	0.725652099
26	0.7150522591
27	0.6973421088
28	0.6746224449
29	0.6635102189
30	0.6534228023
31	0.6327258291
32	0.6213393559
33	0.6104566717
34	0.6016676812
35	0.5911458339
36	0.5796047436
37	0.5687927858
38	0.5590601557
39	0.5476862925
40	0.5336966251
41	0.5239607886
42	0.5154006553
43	0.5023772949
44	0.4899438399
45	0.4797859726
46	0.4685068218
47	0.4574868726
48	0.4467041964
49	0.4379504012
50	0.4293901424
51	0.4214397227
52	0.4149272506
53	0.4074762778
54	0.4018019375
55	0.3943589595
56	0.3847059391
57	0.3754284865
58	0.3684703398
59	0.3598117436
60	0.3524665043
61	0.3444074701
62	0.3388121256
63	0.3331664035
64	0.3284814909
65	0.3225610549
66	0.3171312236
67	0.311166269
68	0.3061810144
69	0.2997741812
70	0.2950169154
71	0.289671115
72	0.2846055614
73	0.2802580108
74	0.2747203755
75	0.2715859612
76	0.2679492339
77	0.2644180667
78	0.2593864721
79	0.2545154815
80	0.2497982718
81	0.2457791295
82	0.2419374608
83	0.2376073885
84	0.2334086564
85	0.2293359193
86	0.2253840963
87	0.221548356
88	0.2178241025
89	0.2142069616
90	0.2111718324
91	0.2077421656
92	0.2047802807
93	0.2022726611
94	0.1990880924
95	0.1966939914
96	0.1936597055
97	0.1913889687
98	0.1884948243
99	0.1861784086
100	0.1834198464
101	0.1807324613
102	0.1790235439
103	0.1764468034
104	0.1745590675
105	0.1728447499
106	0.1709784643
107	0.1688591803
108	0.1667907899
109	0.1645130517
110	0.162587253
111	0.1604096348
112	0.1587688967
113	0.1566803884
114	0.1546404497
115	0.1526475169
116	0.1507000893
117	0.1490524623
118	0.1471856383
119	0.1459890309
120	0.1448124903
121	0.1434575002
122	0.1417122355
123	0.140004839
124	0.1383341663
